stamp,open,high,low,close,buyvolume,sellvolume,volume
2014-05-23 12:00:10,1291.4360000000001,1291.732,1291.4360000000001,1291.716,17.0,1.0,19.0
2014-05-23 12:00:20,1291.716,1291.7359999999999,1291.656,1291.656,0.0,8.0,16.0
2014-05-23 12:00:30,1291.656,1291.656,1291.547,1291.547,2.0,5.0,12.0
2014-05-23 12:00:40,1291.547,1291.556,1291.446,1291.534,4.0,7.0,18.0
2014-05-23 12:00:50,1291.534,1291.5365,1291.5030000000002,1291.528,0.0,3.0,6.0
2014-05-23 12:01:00,1291.528,1291.6095,1291.449,1291.6095,8.0,1.0,10.0
2014-05-23 12:01:10,1291.6095,1291.6480000000001,1291.536,1291.5639999999999,5.0,8.0,21.0
2014-05-23 12:01:20,1291.5639999999999,1291.759,1291.5639999999999,1291.659,20.0,11.0,42.0
2014-05-23 12:01:30,1291.659,1291.659,1291.469,1291.469,10.0,7.0,24.0
2014-05-23 12:01:40,1291.469,1291.5040000000001,1291.469,1291.5040000000001,1.0,2.0,5.0
2014-05-23 12:01:50,1291.5040000000001,1291.507,1291.4205,1291.469,0.0,3.0,6.0
2014-05-23 12:02:00,1291.469,1291.5590000000002,1291.469,1291.5590000000002,11.0,0.0,11.0
2014-05-23 12:02:10,1291.5590000000002,1291.6170000000002,1291.502,1291.5565000000001,5.0,3.0,11.0
2014-05-23 12:02:20,1291.5565000000001,1291.6689999999999,1291.487,1291.6399999999999,4.0,0.0,4.0
2014-05-23 12:02:30,1291.6399999999999,1291.6680000000001,1291.555,1291.5615,21.0,2.0,25.0
2014-05-23 12:02:40,1291.5615,1291.6644999999999,1291.4095,1291.5575,13.0,4.0,21.0
2014-05-23 12:02:50,1291.5575,1291.6145000000001,1291.5215,1291.6145000000001,15.0,3.0,21.0
2014-05-23 12:03:00,1291.6145000000001,1291.6190000000001,1291.437,1291.437,4.0,16.0,36.0
2014-05-23 12:03:10,1291.437,1291.6145000000001,1291.3695,1291.574,24.0,21.0,66.0
2014-05-23 12:03:20,1291.574,1291.574,1291.4695,1291.5190000000002,2.0,6.0,14.0
2014-05-23 12:03:30,1291.5190000000002,1291.569,1291.4945000000002,1291.569,2.0,1.0,4.0
2014-05-23 12:03:40,1291.569,1291.6105,1291.374,1291.6105,917.0,920.0,2757.0
2014-05-23 12:03:50,1291.6105,1291.714,1291.5974999999999,1291.607,28.0,6.0,40.0
2014-05-23 12:04:00,1291.607,1291.6205,1291.5149999999999,1291.549,4.0,2.0,8.0
2014-05-23 12:04:10,1291.549,1291.569,1291.449,1291.449,2.0,10.0,22.0
2014-05-23 12:04:20,1291.449,1291.4845,1291.3690000000001,1291.3690000000001,5.0,5.0,15.0
2014-05-23 12:04:30,1291.3690000000001,1291.5205,1291.3690000000001,1291.4740000000002,491.0,491.0,1473.0
2014-05-23 12:04:40,1291.4740000000002,1291.4740000000002,1291.4065,1291.409,4.0,0.0,4.0
2014-05-23 12:04:50,1291.409,1291.44,1291.317,1291.317,2.0,7.0,16.0
2014-05-23 12:05:00,1291.317,1291.4755,1291.317,1291.4589999999998,14.0,1.0,16.0
2014-05-23 12:05:10,1291.4589999999998,1291.4945,1291.446,1291.4945,0.0,0.0,0.0
2014-05-23 12:05:20,1291.4945,1291.4945,1291.444,1291.451,0.0,0.0,0.0
2014-05-23 12:05:30,1291.451,1291.5425,1291.4285,1291.4945,6.0,7.0,20.0
2014-05-23 12:05:40,1291.4945,1291.6865000000003,1291.431,1291.6354999999999,32.0,3.0,38.0
2014-05-23 12:05:50,1291.6354999999999,1291.747,1291.5385,1291.5385,7.0,6.0,19.0
2014-05-23 12:06:00,1291.5385,1291.808,1291.5385,1291.7975000000001,14.0,1.0,16.0
2014-05-23 12:06:10,1291.7975000000001,1291.9409999999998,1291.7975000000001,1291.8355000000001,36.0,18.0,72.0
2014-05-23 12:06:20,1291.8355000000001,1291.8435,1291.6545,1291.6545,2.0,5.0,12.0
2014-05-23 12:06:30,1291.6545,1291.7505,1291.653,1291.653,2.0,4.0,10.0
2014-05-23 12:06:40,1291.653,1291.7005,1291.653,1291.653,0.0,0.0,0.0
2014-05-23 12:06:50,1291.653,1291.8505,1291.653,1291.8505,8.0,0.0,8.0
2014-05-23 12:07:00,1291.8505,1291.8505,1291.7555000000002,1291.763,5.0,9.0,23.0
2014-05-23 12:07:10,1291.763,1291.8635,1291.7505,1291.8635,6.0,1.0,8.0
2014-05-23 12:07:20,1291.8635,1291.8715,1291.8635,1291.8654999999999,2.0,2.0,6.0
2014-05-23 12:07:30,1291.8654999999999,1291.9454999999998,1291.8654999999999,1291.933,14.0,0.0,14.0
2014-05-23 12:07:40,1291.933,1291.9454999999998,1291.8555000000001,1291.9454999999998,9.0,3.0,15.0
2014-05-23 12:07:50,1291.9454999999998,1291.9454999999998,1291.9405,1291.9454999999998,7.0,0.0,7.0
2014-05-23 12:08:00,1291.9454999999998,1292.031,1291.9454999999998,1292.031,8.0,4.0,16.0
2014-05-23 12:08:10,1292.031,1292.031,1292.011,1292.011,0.0,0.0,0.0
2014-05-23 12:08:20,1292.011,1292.4144999999999,1292.011,1292.4144999999999,96.0,15.0,126.0
2014-05-23 12:08:30,1292.4144999999999,1292.4144999999999,1292.2815,1292.2815,9.0,7.0,23.0
2014-05-23 12:08:40,1292.2815,1292.4144999999999,1292.2815,1292.4105,8.0,8.0,24.0
2014-05-23 12:08:50,1292.4105,1292.4295,1292.3595,1292.4144999999999,9.0,5.0,19.0
2014-05-23 12:09:00,1292.4144999999999,1292.4320000000002,1292.3595,1292.4279999999999,1.0,2.0,5.0
2014-05-23 12:09:10,1292.4279999999999,1292.4340000000002,1292.3829999999998,1292.4340000000002,6.0,5.0,16.0
2014-05-23 12:09:20,1292.4340000000002,1292.4340000000002,1292.4340000000002,1292.4340000000002,10.0,2.0,14.0
2014-05-23 12:09:30,1292.4340000000002,1292.435,1292.4340000000002,1292.435,0.0,0.0,0.0
2014-05-23 12:09:40,1292.435,1292.435,1292.355,1292.355,0.0,3.0,6.0
2014-05-23 12:09:50,1292.355,1292.355,1292.335,1292.335,2.0,0.0,2.0
2014-05-23 12:10:00,1292.335,1292.4250000000002,1292.335,1292.4250000000002,4.0,0.0,4.0
2014-05-23 12:10:10,1292.4250000000002,1292.4275,1292.3765,1292.3765,1.0,5.0,11.0
2014-05-23 12:10:20,1292.3765,1292.3850000000002,1292.3650000000002,1292.3850000000002,5.0,0.0,5.0
2014-05-23 12:10:30,1292.3850000000002,1292.3850000000002,1292.345,1292.345,1.0,2.0,5.0
2014-05-23 12:10:40,1292.345,1292.3650000000002,1292.335,1292.335,0.0,0.0,0.0
2014-05-23 12:10:50,1292.335,1292.335,1292.335,1292.335,0.0,0.0,0.0
2014-05-23 12:11:00,1292.335,1292.335,1292.335,1292.335,0.0,0.0,0.0
2014-05-23 12:11:10,1292.335,1292.335,1292.2875,1292.2875,4.0,7.0,18.0
2014-05-23 12:11:20,1292.2875,1292.3265000000001,1292.2375000000002,1292.3049999999998,7.0,0.0,7.0
2014-05-23 12:11:30,1292.3049999999998,1292.3650000000002,1292.2875,1292.3650000000002,1.0,1.0,3.0
2014-05-23 12:11:40,1292.3650000000002,1292.3715000000002,1292.2715,1292.3715000000002,4.0,1.0,6.0
2014-05-23 12:11:50,1292.3715000000002,1292.3775,1292.3715000000002,1292.3775,1.0,0.0,1.0
2014-05-23 12:12:00,1292.3775,1292.3850000000002,1292.3775,1292.3850000000002,0.0,1.0,2.0
2014-05-23 12:12:10,1292.3850000000002,1292.4225000000001,1292.377,1292.3850000000002,0.0,1.0,2.0
2014-05-23 12:12:20,1292.3850000000002,1292.3850000000002,1292.376,1292.3850000000002,0.0,0.0,0.0
2014-05-23 12:12:30,1292.3850000000002,1292.3850000000002,1292.3745,1292.3745,0.0,1.0,2.0
2014-05-23 12:12:40,1292.3745,1292.3850000000002,1292.2640000000001,1292.2825,0.0,8.0,16.0
2014-05-23 12:12:50,1292.2825,1292.2825,1292.2825,1292.2825,0.0,0.0,0.0
2014-05-23 12:13:00,1292.2825,1292.2825,1292.255,1292.255,0.0,0.0,0.0
2014-05-23 12:13:10,1292.255,1292.255,1292.255,1292.255,0.0,0.0,0.0
2014-05-23 12:13:20,1292.255,1292.255,1292.255,1292.255,0.0,2.0,4.0
